BIN,Address,Borough,Legal Owner (MapPLUTO),Complaints (12mo),Complaints (3yr),Loss of Service % (30d),Risk Level,AI Headline
2015522,2770 KINGSBRIDGE TERRACE,Bronx,LIL CHARLIE LLC D,1,17,0.00%,CRITICAL,"Critical Elevator Malfunctions Persist at 2770 KINGSBRIDGE TERRACE, Demanding Immediate Intervention"
2017513,2775 MORRIS AVENUE,Bronx,2775 MORRIS AVE LLC,1,6,0.00%,HIGH,Persistent Elevator Malfunctions at 2775 Morris Avenue Warrant Immediate Attention
2017526,2784 MORRIS AVENUE,Bronx,2784 MORRIS ESTATES,1,12,0.00%,HIGH,Elevator System at 2784 Morris Avenue Plagued by Chronic Malfunctions and Increasing Tenant Frustration
2015524,2829 SEDGEWICK AVENUE,Bronx,PARKASH 2829 LLC,1,6,0.00%,HIGH,Persistent Elevator Malfunctions at 2829 Sedgewick Avenue Demand Urgent Intervention
2015426,2850 CLAFLIN AVENUE,Bronx,2850 CLAFIN AVE ASSOCIATES LLC,1,4,0.00%,HIGH,Persistent Elevator Malfunctions at 2850 Claflin Avenue Demand Immediate and Comprehensive Intervention
2015416,2850 WEBB AVENUE,Bronx,MGP REALTY LLC,1,4,0.00%,CRITICAL,"Critical Elevator Malfunctions Persist at 2850 Webb Avenue, Indicating Systemic Failure and Urgent Need for Intervention"
2015419,2855 CLAFLIN AVENUE,Bronx,2855 HOLDINGS LLC,1,4,0.00%,HIGH,Elevator Reliability Crisis at 2855 Claflin Avenue: Urgent Action Required
2128204,2865 CRESTON AVENUE,Bronx,10 MINERVA PLACE HOUSING DEVELOPMENT FUN D CORP.,1,3,0.00%,MODERATE,Elevator Reliability Concerns at 2865 CRESTON AVENUE Highlight Need for Proactive Intervention
2016147,3130 ALBANY CRESCENT,Bronx,"HOUSE    , KEITH",1,3,0.00%,HIGH,"Elevator Malfunctions and Tenant Frustration Escalate at 3130 Albany Crescent, Demanding Immediate Proactive Intervention"
2015948,3300 BAILEY AVENUE,Bronx,LANTOWER REALTY L.P.,1,3,0.00%,CRITICAL,Critical Elevator Safety and Compliance Deficiencies at 3300 Bailey Avenue Demand Immediate Intervention
2008448,54 WEST 174 STREET,Bronx,174 LLC,1,3,0.00%,HIGH,Elevator Service at 54 WEST 174 STREET Requires Immediate Proactive Intervention Due to Recurring Breakdowns and High Tenant Frustration
2013922,58 EAST 190 STREET,Bronx,PARKASH 190 LLC,1,15,0.00%,CRITICAL,Critical Escalation of Elevator Failures at 58 East 190 Street Demands Immediate Intervention
2014648,75 WEST 190 STREET,Bronx,THE WHOLE TRUTH LLC D,1,13,0.00%,HIGH,Executive Summary: Persistent Elevator Malfunctions at 75 WEST 190 STREET Demand Immediate Intervention
2015298,95 WEST 195 STREET,Bronx,DIPLOMACY REALTY LLC,1,4,0.00%,HIGH,Critical Assessment: Persistent Elevator Malfunctions at 95 WEST 195 STREET Demand Immediate Intervention
2014201,1 WEST 181 STREET,Bronx,FORDHAM GARAGE LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014209,1 WEST 182 STREET,Bronx,1 WEST LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2017538,10 EAST 198 STREET,Bronx,"REFIKA REALTY CO., LLC",0,0,0.00%,Nominal,No recent complaint activity recorded.
2101598,100 EAST FORDHAM ROAD,Bronx,SIDLEY HOLDING CORP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008796,100 WEST 174 STREET,Bronx,G&M PROPERTIES II HOUSING DEVELOPMENT FU ND CORPORA,0,0,0.00%,Nominal,No recent complaint activity recorded.
2094694,100 WEST KINGSBRIDGE ROAD,Bronx,TCPRNC REAL ESTATE LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014909,102 WEST 183 STREET,Bronx,ANDREWS 102 LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2013886,108 FIELD PLACE,Bronx,108 FIELD PLACE REALTY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014232,11 WEST 183 STREET,Bronx,TAI SIK KIM,0,0,0.00%,Nominal,No recent complaint activity recorded.
2013928,111 EAST FORDHAM ROAD,Bronx,DORHAGE REALTY CO INC JP MORGAN CHASE BA NK AS AGENT FOR DORHAGE,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007634,111 MT HOPE PLACE,Bronx,HARLEY A CORP.,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014913,111 WEST 183 STREET,Bronx,WEST SIDE BRONX LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014907,114 WEST 183 STREET,Bronx,ZONO REALTY CORP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007888,116 HENWOOD PLACE,Bronx,L & D ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2013899,120 EAST 184 STREET,Bronx,NYC DEPARTMENT OF EDUCATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014902,120 WEST  183 STREET,Bronx,120 WEST 183RD STREET OWNER LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2092066,120 WEST 176 STREET,Bronx,GENERAL PARTNER UAC 3 LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2015547,120 WEST 231 STREET,Bronx,NYC DEPARTMENT OF EDUCATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2013877,121 EAST 182 STREET,Bronx,STARI EQUITIES LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2094690,123 WEST 183 STREET,Bronx,123 WEST 183 HOUSING DEVELOPMENT FUND CO RPORATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2013849,125 EAST 181 STREET,Bronx,NYC DEPARTMENT OF EDUCATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008601,125 WEST TREMONT AVENUE,Bronx,"WEST TREMONT AVENUEREALTY ASSOCIATES, L. P.",0,0,0.00%,Nominal,No recent complaint activity recorded.
2013896,127 EAST 183 STREET,Bronx,2301 C LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2095197,127 WEST 183 STREET,Bronx,123 WEST 183 HOUSING DEVELOPMENT FUND CO RPORATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014901,128 WEST 183 STREET,Bronx,P.R.V. REALTY CORP.,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008985,135 WEST 175 STREET,Bronx,ARISTA UAC PROPERTIES LP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007895,140 EAST 176TH ST,Bronx,1820 HOLDING LTD,0,0,0.00%,Nominal,No recent complaint activity recorded.
2092102,140 WEST  174 STREET,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2130515,140 WEST FORDHAM ROAD,Bronx,ONE FORTY WEST FORDHAM ROAD LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014834,145 WEST 188 STREET,Bronx,188 REALTY ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008981,1472 MONTGOMERY AVENUE,Bronx,GENERAL PARTNER UAC 3 LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008874,1480 POPHAM AVENUE,Bronx,"1480 POPHAM REALTY,",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008876,1491 MONTGOMERY AVE,Bronx,"MONTMAC DEVELOPER, L.P.",0,0,0.00%,Nominal,No recent complaint activity recorded.
2014287,15 EVELYN PLACE,Bronx,MMIKP BRONX REALTY LL,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008341,15 FEATHER BED LANE,Bronx,1113 HOLDING LTD,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014284,15 NORTH STREET,Bronx,NORTH MANAGEMENT LLC,0,0,0.56%,Nominal,No recent complaint activity recorded.
2013758,150 EAST 182 STREET,Bronx,BEKS LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2092106,150 WEST 174 STREET,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014862,150 WEST 179 STREET,Bronx,150 WESTMAR REALTY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2015380,150 WEST 197 STREET,Bronx,197TH ST APARTMENTS,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008875,1500 POPHAM AVENUE,Bronx,1700 DEVELOPMENT CO INC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2114714,1514 SEDGWICK AVENUE,Bronx,"HP 1514 SEDGWICK HOUSING DEVELOPMENT FUN D CO, INC",0,0,0.00%,Nominal,No recent complaint activity recorded.
2009171,1520 SEDGWICK AVENUE,Bronx,1520 SEDGWICK HOUSING DEVELOPMENT FUND C ORPORATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2092104,1535 UNIVERSITY AVENUE,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008741,1541 SHAKESPEARE AVENUE,Bronx,"LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.",0,0,0.00%,Nominal,No recent complaint activity recorded.
2092105,1551 UNIVERSITY AVENUE,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007682,156 EAST 178 STREET,Bronx,156 E 178 LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2092107,156 WEST 174 STREET,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2129015,157 WEST KINGSBRIDGE ROAD,Bronx,"TERRACE ACQUISITION III, LLC",0,0,0.00%,Nominal,No recent complaint activity recorded.
2009188,1571 UNDERCLIFF AVENUE,Bronx,CM 1571 UNDERCLIFF LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008698,1592 JESUP AVENUE,Bronx,HIGHBRIDGE RISING HOUSING DEVELOPMENT FU ND CORP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2129282,16 EAST 204 STREET,Bronx,"HP VILLA GARDENS HDFC, INC.",0,0,0.00%,Nominal,No recent complaint activity recorded.
2097275,16-91 EAST BURNSIDE,Bronx,STEPH-LEIGH ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007690,160 BUSH STREET,Bronx,VANWALD HOLDING CO.,0,0,0.00%,Nominal,No recent complaint activity recorded.
2092103,160 WEST 174 STREET,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2015138,160 WEST KINGSBRIDGE ROAD,Bronx,MGSA I LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2130750,1600 GRAND AVENUE,Bronx,STARHILL PHASE I HOUSING DEVELOPMENT FUN D CORPORAT,0,0,0.28%,Nominal,No recent complaint activity recorded.
2008721,1601 MACOMBS ROAD,Bronx,"LONGWOOD HOUSING DEVELOPMENT FUND COMPAN Y, INC.",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008980,1601 UNIVERSITY AVENUE,Bronx,GENERAL PARTNER UAC 3 LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2114454,1605 UNIVERSITY AVENUE,Bronx,"UNIMAC DEVELOPER, L.P.",0,0,0.56%,Nominal,No recent complaint activity recorded.
2008984,1611 UNIVERSITY AVENUE,Bronx,UNIMAC DEVELOPER LP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008983,1615 UNIVERSITY AVENUE,Bronx,UNIMAC DEVELOPER LP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2114556,162 WEST KINGSBRIDGE ROAD,Bronx,JEWISH BOARD OF FAMILY AND CHILDREN'S SE RVICES INC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2089984,1623 UNDERCLIFF AVENUE,Bronx,"MULRAIN, TORAR",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008825,1628 UNIVERSITY AVENUE,Bronx,ILENE R. SMITH LIMITED PARTNERSHIP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007686,163 EAST 178 STREET,Bronx,2275 HOLDING LTD,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008878,1630 UNDERCLIFF AVENUE,Bronx,"1630 UNDERCO, INC.",0,0,0.00%,Nominal,No recent complaint activity recorded.
2116511,1632 UNDERCLIFF AVENUE,Bronx,CLIFFSIDE PROPERTIES LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2089979,1633 UNDERCLIFF AVENUE,Bronx,LOLA APOLLON,0,0,0.00%,Nominal,No recent complaint activity recorded.
2092108,164 WEST  174 STREET,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2120359,1650 UNDERCLIFF AVENUE,Bronx,TYLERS DIMES LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008890,1652 POPHAM AVENUE,Bronx,"1652 POPHAM ASSOCIATES,",0,0,0.00%,Nominal,No recent complaint activity recorded.
2009182,1655 UNDERCLIFF AVENUE,Bronx,STELLAR UNDERCLIFF LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008452,1664 MACOMBS ROAD,Bronx,MACOMB VILLAGE ASSOC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2092065,1665 ANDREWS AVENUE,Bronx,GENERAL PARTNER UAC 3 LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2129640,1665 JEROME AVENUE,Bronx,JEROME HOTEL HOLDINGS LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009003,1669 UNIVERSITY AVENUE,Bronx,UNIMAC DEVELOPER LP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008453,1674 MACOMBS ROAD,Bronx,MACOMB VILLAGE ASSOC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2124373,1690 NELSON AVENUE,Bronx,"10 BROAD STREET, LLC",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008504,1691 DAVIDSON AVENUE,Bronx,DREAMYARD NEP HOUSING DEVELOPMENT FUND C ORPORATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008466,1695 GRAND AVENUE,Bronx,"MORRIS HEIGHTS HOUSING DEVELOPMENT FUND  COMPANY, I",0,0,0.00%,Nominal,No recent complaint activity recorded.
2007856,1695 GRAND CONCOURSE,Bronx,MNJS LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014206,17 WEST  182 STREET,Bronx,17 WEST 182,0,0,0.00%,Nominal,No recent complaint activity recorded.
2112707,17 WEST 183 STREET,Bronx,19 WEST 183RD LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2015211,170 WEST KINGSBRIDGE ROAD,Bronx,"170 KINGSBRIDGE PISTILLI, LLC",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008505,1700 HARRISON AVENUE,Bronx,"1700 HARRISON HOUSING DEVELOPMENT FUND C OMPANY,INC",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008460,1700 MACOMBS ROAD,Bronx,NYC DEPARTMENT OF EDUCATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009011,1705 ANDREWS AVENUE,Bronx,ARISTA UAC PROPERTIES LP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008853,1706 NELSON AVENUE,Bronx,1706 RLTY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009012,1710 ANDREWS AVENUE,Bronx,ANDREWS/KELLY HOUSING DEV. FUND CORPORAT ION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009006,1710 MONTGOMERY AVENUE,Bronx,1710 MONTGOMERY REALTY ASSOC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008926,1710 POPHAM AVENUE,Bronx,1710 POPHAM LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008501,1711 DAVIDSON AVENUE,Bronx,1711 DAVIDSON AVENUE,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008360,1712 DAVIDSON AVENUE,Bronx,"1712 DAVIDSON HOLDINGS, LLC",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008839,1715 NELSON AVENUE,Bronx,1715 NELSON AVE HOUSING DEVEL CORP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008199,1715 WALTON AVENUE,Bronx,PISTILLI WALTON AVENUE LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008193,1720 TOWNSEND AVENUE,Bronx,OPPONG JOHN,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008834,1720 UNIVERSITY AVENUE,Bronx,"1720 UNICO, INC.",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008511,1721 GRAND AVENUE,Bronx,1721 GRAND ASSOCIATES L.L.C.,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008500,1723 DAVIDSON AVENUE,Bronx,MT PLEASANT-PENTCSTL CH,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009010,1725 ANDREWS AVENUE,Bronx,ANDREWS PLAZA HOUSING ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008506,1730 HARRISON AVENUE,Bronx,1730 HARRISON HOUSING DEVELOPMENT FUND C OMPANY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009007,1730 MONTGOMERY AVENUE,Bronx,MONTGOMERY REALTY ASSOCS,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008928,1730 POPHAM AVENUE,Bronx,1730 POPHAM LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008471,1731 HARRISON AVENUE,Bronx,"MOUNT HOPE RENAISSANCE HDFC, INC.",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008362,1732 DAVIDSON AVENUE,Bronx,1732 DAVIDSON LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008498,1735 DAVIDSON AVENUE,Bronx,1735 DAVIDSON LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008835,1738 UNIVERSITY AVENUE,Bronx,1738 U LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2094551,1741 ANDREWS AVENUE,Bronx,UNITED STATES OF AMERICA,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009351,1744 CLAY AVENUE,Bronx,"OLR ECW HOUSING DEVELOPMENT FUND COMPANY , INC.",0,0,0.00%,Nominal,No recent complaint activity recorded.
2007510,1747 CLAY AVENUE,Bronx,1747 CLAY REALTY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007875,1750 GRAND CONCOURSE,Bronx,1750 GC LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009008,1750 MONTGOMERY AVENUE,Bronx,MONTGOMERY REALTY ASSOCS,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007509,1755 CLAY AVENUE,Bronx,1755 CLAY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008363,1759 JEROME AVENUE,Bronx,1749 EQUITIES INC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008942,1759 MONTGOMERY AVENUE,Bronx,ANDREWS PLAZA HOUSING ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009029,176 ANDREWS AVENUE,Bronx,"EAST HARLEM COUNCIL FOR COMMUNITY DEVELO PMENT, INC",0,0,0.00%,Nominal,No recent complaint activity recorded.
2007515,176 EAST 176 STREET,Bronx,LYNSEY ASSOCIATES LLC D,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009014,1760 ANDREWS AVENUE,Bronx,ANDREWS PLAZA HOUSING ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007879,1764 WALTON AVENUE,Bronx,ISWIL REALTY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2116641,1765 TOWNSEND AVENUE,Bronx,BSP GIGI LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2130601,1769 JEROME AVENUE,Bronx,JEROME HOUSING DEVELOPMENT FUND CORPORAT ION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009015,1770 ANDREWS AVENUE,Bronx,1770 REALTY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008369,1770 DAVIDSON AVENUE,Bronx,HP DAVIDSON CLUSTER HOUSING DEVELOPMENT,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007876,1770 GRAND CONCOURSE,Bronx,"GC 1770, LLC",0,0,0.00%,Nominal,No recent complaint activity recorded.
2007503,1775 CLAY AVENUE,Bronx,1775 CLAY REALTY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007858,1775 GRAND CONCOURSE,Bronx,VERIZON NEW YORK INC.,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009358,1776 CLAY AVENUE,Bronx,THE PUERTO RICAN ORG. TO MOTIVATE ENLIGHTEN & SERVE ADDICTS INC.,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007497,1776 TOPPING AVENUE,Bronx,1776 TOPPING AVE HSNG DEV,0,0,0.00%,Nominal,No recent complaint activity recorded.
2129689,1777 WEEKS AVENUE,Bronx,1777 WEEKS AVE LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008370,1780 DAVIDSON AVENUE,Bronx,HP DAVIDSON CLUSTER HOUSING DEVELOPMENT,0,0,0.00%,Nominal,No recent complaint activity recorded.
2094521,1780 GRAND CONCOURSE,Bronx,"CONCOURSE ONE COMPANY,",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008972,1785 POPHAM AVENUE,Bronx,ANDREWS PLAZA HOUSING ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008209,1790 JEROME AVENUE,Bronx,1770 JEROME HOUSING DEVELOPMENT FUND COR PORATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007889,1791 GRAND CONCOURSE,Bronx,DENPAT ASSOCIATES LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2114111,1791 WALTON AVENUE,Bronx,1791 WALTON AVENUE LLC D,0,0,0.00%,Nominal,No recent complaint activity recorded.
2017539,18 EAST 198 STREET,Bronx,RAQUEL REALTY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2017598,18 EAST 199 STREET,Bronx,M 18 EAST 199 STREET,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009094,1800 ANDREWS AVENUE,Bronx,SHEILD OF DAVID INC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008371,1800 DAVIDSON AVENUE,Bronx,DAVIDSON AVENUE SIP HOUSING DEVELOPMENT  FUND CORP.,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008941,1800 POPHAM AVENUE,Bronx,ANDREWS PLAZA HOUSING ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009088,1801 LORING PLACE,Bronx,"1801 LORING ASSOCIATES,LLC",0,0,0.00%,Nominal,No recent complaint activity recorded.
2008582,1804 HARRISON AVENUE,Bronx,BO MAY RLTY CORP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2109470,1810 DAVIDSON AVENUE,Bronx,NYC DEPARTMENT OF EDUCATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008517,1815 DAVIDSON AVENUE,Bronx,MOUNT HOPE PRESERVATION APARTMENTS 1A HO USING,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007516,1815 MONROE AVENUE,Bronx,1815 MONROE LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007884,1815 MORRIS AVENUE,Bronx,1815 MORRIS REALTY CORP.,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009360,1818 CLAY AVENUE,Bronx,1818 CLAY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008585,1820 HARRISON AVENUE,Bronx,1820 HARRISON REALTY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009061,1820 LORING PLACE SOUTH,Bronx,1820 LORING ASSOC  LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009077,1820 PHELAN PLACE,Bronx,ANDREWS PLAZA HOUSING ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007518,1824 MONROE AVENUE,Bronx,K & A MGT. LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2101388,1835 ANTHONY AVENUE,Bronx,"HUNTE, JANICE",0,0,0.00%,Nominal,No recent complaint activity recorded.
2007621,1835 GRAND CONCOURSE,Bronx,M 1835 GC LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009095,1839 UNIVERSITY AVENUE,Bronx,301 MANAGEMENT LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007542,1840 GRAND CONCOURSE,Bronx,1840 CONCOURSE ASSOCIATES L.P.,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009103,1840 SEDGWICK AVENUE,Bronx,ANDREWS PLAZA HOUSING ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009147,1860 BILLINGSLEY TERRACE,Bronx,BILLINGSLEY LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007544,1860 GRAND CONCOURSE,Bronx,AUDUBON EQUITIES LTD.,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007615,1860 MORRIS AVENUE,Bronx,ANNAL MANAGEMENT CO TLD,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009057,1875 UNIVERSITY AVENUE,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008602,1878 HARRISON AVENUE,Bronx,GILL MAINTENANCE CORP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007908,1881 MORRIS AVENUE,Bronx,1881 HOLDING LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007547,1882 GRAND CONCOURSE,Bronx,CONCOURSE FLATIRON ASSOCIATES LP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009055,1895 UNIVERSITY AVENUE,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2129758,1896 UNIVERSITY AVENUE,Bronx,GW UNIVERSE LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008604,1898 HARRISON AVENUE,Bronx,UHAB HOUSING DEVELOPMENT FUND CORP,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008266,19 EAST TREMONT AVENUE,Bronx,17 E. TREMONT LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007637,1901 GRAND CONCOURSE,Bronx,MASON STUART LLC D,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007918,1915 MORRIS AVENUE,Bronx,ANNAL MANAGEMENT CO LTD,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007910,1920 WALTON AVENUE,Bronx,1920 WALTON LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2009054,1925 UNIVERSITY AVENUE,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008607,1934 HARRISON AVENUE,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008557,1935 HARRISON AVENUE,Bronx,NYC HOUSING AUTHORITY,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007683,1939 GRAND CONCOURSE,Bronx,1939 G.C. LLC,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014861,1944 LORING PLACE,Bronx,1944 LORING PLACE HOUSING DVLPMNT FUND C ORPORATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
2015035,1945 LORING PLACE,Bronx,ANDREW ASSOCIATES LLC D,0,0,0.00%,Nominal,No recent complaint activity recorded.
2014695,1950 ANDREWS AVENUE,Bronx,SYDNEY ENGEL ASSOCIATES,0,0,0.00%,Nominal,No recent complaint activity recorded.
2007687,1963 GRAND CONCOURSE,Bronx,1963 CONCOURSE HOLDI,0,0,0.00%,Nominal,No recent complaint activity recorded.
2008620,1971 GRAND AVENUE,Bronx,1971 GRAND HOUSING DEVELOPMENT FUND CORP ORATION,0,0,0.00%,Nominal,No recent complaint activity recorded.
